# x1	y1	z1	x2	y2	z2	x3	y3	z3
# %lf	%lf	%lf	%lf	%lf	%lf	%lf	%lf	%lf
0.000000	0.000000	0.000000	1.000000	0.000000	0.100000	0.000000	1.000000	0.200000
0.000000	0.000000	-0.200000	1.000000	0.000000	0.000000	0.000000	1.000000	-0.100000
0.000000	0.000000	0.200000	1.000000	0.000000	0.100000	0.000000	1.000000	0.300000
0.000000	0.000000	0.000000	1.700000	0.000000	0.185000	0.000000	1.650000	0.370000
0.000000	0.000000	-0.370000	1.700000	0.000000	0.000000	0.000000	1.650000	-0.185000
0.000000	0.000000	0.370000	1.700000	0.000000	0.185000	0.000000	1.650000	0.555000
0.000000	0.000000	0.000000	4.080000	0.000000	0.499500	0.000000	3.795000	0.999000
0.000000	0.000000	-0.999000	4.080000	0.000000	0.000000	0.000000	3.795000	-0.499500
0.000000	0.000000	0.999000	4.080000	0.000000	0.499500	0.000000	3.795000	1.498500
0.000000	0.000000	0.000000	14.076000	0.000000	1.985513	0.000000	12.428625	3.971025
0.000000	0.000000	-3.971025	14.076000	0.000000	0.000000	0.000000	12.428625	-1.985513
0.000000	0.000000	3.971025	14.076000	0.000000	1.985513	0.000000	12.428625	5.956538
